"","vial","variable","event"
"1","BP-G-1",8.1,1
"2","BP-G-1",8.1,1
"3","BP-G-1",8.1,1
"4","BP-G-1",8.1,1
"5","BP-G-3",8.1,1
"6","BP-G-3",8.1,1
"7","CO-G-2",8.1,1
"8","CO-G-3",8.1,1
"9","CO-G-3",8.1,1
"10","SP-G-2",8.1,1
"11","SP-G-2",8.1,1
"12","BP-G-1",8.3,1
"13","BP-G-3",8.3,1
"14","CA-G-3",8.3,1
"15","CO-G-2",8.3,1
"16","CO-G-2",8.3,1
"17","CO-G-3",8.3,1
"18","CO-G-3",8.3,1
"19","CO-G-3",8.3,1
"20","SP-G-1",8.3,1
"21","SP-G-1",8.3,1
"22","SP-G-1",8.3,1
"23","SP-G-3",8.3,1
"24","BP-G-1",8.9,1
"25","BP-G-1",8.9,1
"26","BP-G-1",8.9,1
"27","BP-G-2",8.9,1
"28","BP-G-3",8.9,1
"29","CA-G-2",8.9,1
"30","CA-G-2",8.9,1
"31","CA-G-2",8.9,1
"32","CA-G-3",8.9,1
"33","CA-G-3",8.9,1
"34","CA-G-3",8.9,1
"35","CA-G-3",8.9,1
"36","CA-G-3",8.9,1
"37","CO-G-1",8.9,1
"38","CO-G-1",8.9,1
"39","CO-G-2",8.9,1
"40","CO-G-3",8.9,1
"41","CO-G-3",8.9,1
"42","CO-G-3",8.9,1
"43","CO-G-3",8.9,1
"44","CO-G-3",8.9,1
"45","AS-G-2",8.9,1
"46","AS-G-2",8.9,1
"47","SP-G-1",8.9,1
"48","SP-G-1",8.9,1
"49","SP-G-1",8.9,1
"50","SP-G-2",8.9,1
"51","SP-G-2",8.9,1
"52","SP-G-2",8.9,1
"53","SP-G-2",8.9,1
"54","SP-G-2",8.9,1
"55","SP-G-2",8.9,1
"56","SP-G-2",8.9,1
"57","SP-G-2",8.9,1
"58","BP-G-1",9.1,1
"59","BP-G-2",9.1,1
"60","BP-G-3",9.1,1
"61","CA-G-1",9.1,1
"62","CA-G-1",9.1,1
"63","CA-G-1",9.1,1
"64","CA-G-1",9.1,1
"65","CA-G-1",9.1,1
"66","CA-G-1",9.1,1
"67","CA-G-2",9.1,1
"68","CA-G-2",9.1,1
"69","CA-G-2",9.1,1
"70","CA-G-2",9.1,1
"71","CA-G-3",9.1,1
"72","CA-G-3",9.1,1
"73","CA-G-3",9.1,1
"74","CA-G-3",9.1,1
"75","CA-G-3",9.1,1
"76","CA-G-3",9.1,1
"77","CA-G-3",9.1,1
"78","CA-G-3",9.1,1
"79","CA-G-3",9.1,1
"80","CA-G-3",9.1,1
"81","CO-G-1",9.1,1
"82","CO-G-1",9.1,1
"83","CO-G-2",9.1,1
"84","CO-G-3",9.1,1
"85","CO-G-3",9.1,1
"86","PO-G-3",9.1,1
"87","AS-G-2",9.1,1
"88","AS-G-2",9.1,1
"89","AS-G-2",9.1,1
"90","AS-G-2",9.1,1
"91","AS-G-2",9.1,1
"92","SP-G-1",9.1,1
"93","SP-G-1",9.1,1
"94","SP-G-1",9.1,1
"95","SP-G-1",9.1,1
"96","SP-G-1",9.1,1
"97","SP-G-3",9.1,1
"98","SP-G-3",9.1,1
"99","BP-G-1",9.3,1
"100","BP-G-2",9.3,1
"101","CA-G-1",9.3,1
"102","CA-G-1",9.3,1
"103","CA-G-1",9.3,1
"104","CA-G-2",9.3,1
"105","CA-G-2",9.3,1
"106","CA-G-2",9.3,1
"107","CA-G-2",9.3,1
"108","CA-G-2",9.3,1
"109","CA-G-2",9.3,1
"110","CA-G-2",9.3,1
"111","CA-G-2",9.3,1
"112","CA-G-2",9.3,1
"113","CA-G-2",9.3,1
"114","CA-G-3",9.3,1
"115","CA-G-3",9.3,1
"116","CO-G-1",9.3,1
"117","CO-G-2",9.3,1
"118","CO-G-3",9.3,1
"119","CO-G-3",9.3,1
"120","CO-G-3",9.3,1
"121","CO-G-3",9.3,1
"122","CO-G-3",9.3,1
"123","CO-G-3",9.3,1
"124","AS-G-2",9.3,1
"125","AS-G-2",9.3,1
"126","AS-G-2",9.3,1
"127","AS-G-2",9.3,1
"128","SP-G-1",9.3,1
"129","SP-G-1",9.3,1
"130","SP-G-1",9.3,1
"131","SP-G-1",9.3,1
"132","SP-G-1",9.3,1
"133","SP-G-1",9.3,1
"134","SP-G-2",9.3,1
"135","SP-G-2",9.3,1
"136","SP-G-2",9.3,1
"137","SP-G-2",9.3,1
"138","SP-G-2",9.3,1
"139","SP-G-2",9.3,1
"140","SP-G-3",9.3,1
"141","SP-G-3",9.3,1
"142","SP-G-3",9.3,1
"143","AV-G-2",9.9,1
"144","AV-G-2",9.9,1
"145","BP-G-1",9.9,1
"146","BP-G-1",9.9,1
"147","CA-G-1",9.9,1
"148","CA-G-2",9.9,1
"149","CA-G-2",9.9,1
"150","CA-G-2",9.9,1
"151","CA-G-2",9.9,1
"152","CA-G-3",9.9,1
"153","CO-G-2",9.9,1
"154","PO-G-3",9.9,1
"155","AS-G-3",9.9,1
"156","AS-G-3",9.9,1
"157","AS-G-3",9.9,1
"158","SP-G-1",9.9,1
"159","SP-G-1",9.9,1
"160","SP-G-1",9.9,1
"161","SP-G-1",9.9,1
"162","SP-G-1",9.9,1
"163","SP-G-2",9.9,1
"164","SP-G-2",9.9,1
"165","SP-G-2",9.9,1
"166","SP-G-3",9.9,1
"167","SP-G-3",9.9,1
"168","AV-G-2",10.1,1
"169","CA-G-1",10.1,1
"170","CA-G-1",10.1,1
"171","CA-G-1",10.1,1
"172","CA-G-2",10.1,1
"173","CA-G-2",10.1,1
"174","CA-G-2",10.1,1
"175","CA-G-2",10.1,1
"176","CA-G-2",10.1,1
"177","CA-G-3",10.1,1
"178","CA-G-3",10.1,1
"179","PO-G-3",10.1,1
"180","PO-G-3",10.1,1
"181","AS-G-1",10.1,1
"182","AS-G-1",10.1,1
"183","AS-G-2",10.1,1
"184","AS-G-2",10.1,1
"185","AS-G-3",10.1,1
"186","SP-G-1",10.1,1
"187","SP-G-1",10.1,1
"188","SP-G-2",10.1,1
"189","SP-G-2",10.1,1
"190","SP-G-2",10.1,1
"191","SP-G-2",10.1,1
"192","SP-G-2",10.1,1
"193","SP-G-2",10.1,1
"194","SP-G-3",10.1,1
"195","SP-G-3",10.1,1
"196","SP-G-3",10.1,1
"197","AV-G-2",10.3,1
"198","AV-G-2",10.3,1
"199","AV-G-2",10.3,1
"200","AV-G-2",10.3,1
"201","AV-G-2",10.3,1
"202","BP-G-2",10.3,1
"203","CA-G-1",10.3,1
"204","CA-G-2",10.3,1
"205","CA-G-2",10.3,1
"206","AS-G-3",10.3,1
"207","AS-G-3",10.3,1
"208","AS-G-3",10.3,1
"209","AS-G-3",10.3,1
"210","AS-G-3",10.3,1
"211","AS-G-3",10.3,1
"212","AS-G-3",10.3,1
"213","AS-G-3",10.3,1
"214","SP-G-1",10.3,1
"215","SP-G-1",10.3,1
"216","SP-G-1",10.3,1
"217","SP-G-1",10.3,1
"218","SP-G-3",10.3,1
"219","SP-G-3",10.3,1
"220","SP-G-3",10.3,1
"221","SP-G-3",10.3,1
"222","AV-G-2",11.1,1
"223","AV-G-2",11.1,1
"224","PO-G-3",11.1,1
"225","AS-G-3",11.1,1
"226","AS-G-3",11.1,1
"227","AS-G-3",11.1,1
"228","AS-G-3",11.1,1
"229","AS-G-3",11.1,1
"230","AS-G-3",11.1,1
"231","AS-G-3",11.1,1
"232","AS-G-3",11.1,1
"233","AS-G-3",11.1,1
"234","AS-G-3",11.1,1
"235","AS-G-3",11.1,1
"236","AS-G-3",11.1,1
"237","AS-G-3",11.1,1
"238","AS-G-3",11.1,1
"239","SP-G-1",11.1,1
"240","SP-G-1",11.1,1
"241","SP-G-2",11.1,1
"242","SP-G-2",11.1,1
"243","SP-G-2",11.1,1
"244","SP-G-2",11.1,1
"245","SP-G-3",11.1,1
"246","AV-G-2",11.3,1
"247","AV-G-2",11.3,1
"248","AV-G-2",11.3,1
"249","AV-G-2",11.3,1
"250","AV-G-2",11.3,1
"251","AV-G-2",11.3,1
"252","AS-G-3",11.3,1
"253","AS-G-3",11.3,1
"254","AS-G-3",11.3,1
"255","AS-G-3",11.3,1
"256","AV-G-2",11.9,1
"257","AV-G-2",11.9,1
"258","AV-G-2",11.9,1
"259","AV-G-2",11.9,1
"260","AV-G-2",11.9,1
"261","AV-G-2",11.9,1
"262","AV-G-2",11.9,1
"263","AV-G-2",11.9,1
"264","AV-G-3",11.9,1
"265","PO-G-3",11.9,1
"266","AS-G-2",11.9,1
"267","AS-G-2",11.9,1
"268","AS-G-3",11.9,1
"269","AS-G-3",11.9,1
"270","AS-G-3",11.9,1
"271","AS-G-3",11.9,1
"272","AS-G-3",11.9,1
"273","AS-G-3",11.9,1
"274","AS-G-3",11.9,1
"275","AS-G-3",11.9,1
"276","AS-G-3",11.9,1
"277","AS-G-3",11.9,1
"278","AS-G-3",11.9,1
"279","AS-G-3",11.9,1
"280","AS-G-3",11.9,1
"281","AS-G-3",11.9,1
"282","AS-G-3",11.9,1
"283","AS-G-3",11.9,1
"284","AS-G-3",11.9,1
"285","SP-G-2",11.9,1
"286","SP-G-2",11.9,1
"287","SP-G-2",11.9,1
"288","AV-G-2",12.1,1
"289","AV-G-2",12.1,1
"290","AV-G-3",12.1,1
